,Earnings,IMDB rating,Rating Runtime Genre,Release Date,amenities,peopleInolved,percent full,price,time,title
35,"Gross USA: $31,511,019",8.0,"R, 2 hr 15 min
Comedy, Drama, Suspense/Thriller",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Benny Safdie, Josh Safdie, Writers:: Ronald Bronstein, Josh Safdie, 1 more credit, Stars:: Mesfin Lamengo, Suin Zhi Hua-Hilton, Liang Wei-Hei Duncan, See full cast & crew, ",0.09375,$10.65,12:30p,UNCUT GEMS2
36,"Gross USA: $31,511,019",8.0,"R, 2 hr 15 min
Comedy, Drama, Suspense/Thriller",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Benny Safdie, Josh Safdie, Writers:: Ronald Bronstein, Josh Safdie, 1 more credit, Stars:: Mesfin Lamengo, Suin Zhi Hua-Hilton, Liang Wei-Hei Duncan, See full cast & crew, ",0.041666666666666664,$10.65,3:30p,UNCUT GEMS3
37,"Gross USA: $31,511,019",8.0,"R, 2 hr 15 min
Comedy, Drama, Suspense/Thriller",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Benny Safdie, Josh Safdie, Writers:: Ronald Bronstein, Josh Safdie, 1 more credit, Stars:: Mesfin Lamengo, Suin Zhi Hua-Hilton, Liang Wei-Hei Duncan, See full cast & crew, ",0.0,$12.25,6:45p,UNCUT GEMS4
38,"Gross USA: $31,511,019",8.0,"R, 2 hr 15 min
Comedy, Drama, Suspense/Thriller",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Benny Safdie, Josh Safdie, Writers:: Ronald Bronstein, Josh Safdie, 1 more credit, Stars:: Mesfin Lamengo, Suin Zhi Hua-Hilton, Liang Wei-Hei Duncan, See full cast & crew, ",0.0,$12.25,9:45p,UNCUT GEMS5
39,"Gross USA: $124,171,694",8.1,"PG-13, 2 hr 11 min
Comedy, Suspense/Thriller",Release Date: 27 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Rian Johnson, Writer:: Rian Johnson, Stars:: Daniel Craig, Chris Evans, Ana de Armas, See full cast & crew, ",0.17708333333333334,$10.65,12:00p,KNIVES OUT1
40,"Gross USA: $124,171,694",8.1,"PG-13, 2 hr 11 min
Comedy, Suspense/Thriller",Release Date: 27 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Rian Johnson, Writer:: Rian Johnson, Stars:: Daniel Craig, Chris Evans, Ana de Armas, See full cast & crew, ",0.4270833333333333,$10.65,3:00p,KNIVES OUT2
41,"Gross USA: $124,171,694",8.1,"PG-13, 2 hr 11 min
Comedy, Suspense/Thriller",Release Date: 27 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Rian Johnson, Writer:: Rian Johnson, Stars:: Daniel Craig, Chris Evans, Ana de Armas, See full cast & crew, ",0.052083333333333336,$12.25,6:15p,KNIVES OUT3
42,"Gross USA: $124,171,694",8.1,"PG-13, 2 hr 11 min
Comedy, Suspense/Thriller",Release Date: 27 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Rian Johnson, Writer:: Rian Johnson, Stars:: Daniel Craig, Chris Evans, Ana de Armas, See full cast & crew, ",0.0,$12.25,9:15p,KNIVES OUT4
43,"Gross USA: $442,512,364",7.2,"PG, 1 hr 44 min
Animated, Comedy, Family",Release Date: 22 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Chris Buck, Jennifer Lee, Writers:: Jennifer Lee, Jennifer Lee, 4 more credits, Stars:: Kristen Bell, Idina Menzel, Josh Gad, See full cast & crew, ",0.09090909090909091,$6.17,10:45a,FROZEN II1
44,"Gross USA: $442,512,364",7.2,"PG, 1 hr 44 min
Animated, Comedy, Family",Release Date: 22 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Chris Buck, Jennifer Lee, Writers:: Jennifer Lee, Jennifer Lee, 4 more credits, Stars:: Kristen Bell, Idina Menzel, Josh Gad, See full cast & crew, ",0.10160427807486631,$10.65,1:15p,FROZEN II2
45,"Gross USA: $442,512,364",7.2,"PG, 1 hr 44 min
Animated, Comedy, Family",Release Date: 22 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Chris Buck, Jennifer Lee, Writers:: Jennifer Lee, Jennifer Lee, 4 more credits, Stars:: Kristen Bell, Idina Menzel, Josh Gad, See full cast & crew, ",0.0053475935828877,$10.65,3:45p,FROZEN II3
46,"Gross USA: $442,512,364",7.2,"PG, 1 hr 44 min
Animated, Comedy, Family",Release Date: 22 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Chris Buck, Jennifer Lee, Writers:: Jennifer Lee, Jennifer Lee, 4 more credits, Stars:: Kristen Bell, Idina Menzel, Josh Gad, See full cast & crew, ",0.0053475935828877,$12.25,6:30p,FROZEN II4
47,"Gross USA: $442,512,364",7.2,"PG, 1 hr 44 min
Animated, Comedy, Family",Release Date: 22 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Chris Buck, Jennifer Lee, Writers:: Jennifer Lee, Jennifer Lee, 4 more credits, Stars:: Kristen Bell, Idina Menzel, Josh Gad, See full cast & crew, ",0.0053475935828877,$12.25,9:00p,FROZEN II5
